Title,Units,Amount,Normalized unit,Price
Sara Foods Sama Rice ,500gm,500,gm,350.00
Sara Foods Sugar Free Brown Rice ,1 kg,1000,gm,300.00
Bhansaghar Premium Long Grain Rice ,20 Kg,20000,gm,2950.00
Ashirbad Steam Jeera Masino ,25 Kg,25000,gm,2000.00
Big Choice Regular Jeera Masino Rice ,25 Kg,25000,gm,1950.00
Harpal Galaxy Indian Rice ,20 kg,20000,gm,2975.00
Gyan Bhuja ,400G,400,gm,65.00
Bhansaghar Gold Steam Jeera Masino Rice ,25Kg,25000,gm,2250.00
DhikiJato Local Anadi Chamal ,1 KG,1000,gm,320.00
Big Choice Premium Jeera Masino Rice ,25kg,25000,gm,2100.00
India Gate Black Rice Immuno Special s,500 gm,500,gm,700.00
Mithas Premium Reserve Rice ,20Kg,20000,gm,3200.00
Harpal Boiled Rice ,20Kg,20000,gm,2880.00
Dhiki Jato Brown Rice ,5kg,5000,gm,600.00
Rassi Nepali Taichin Rice ,1 kg,1000,gm,190.00
Himali Organic Jumla Marsi Rice ,1 kg,1000,gm,260.00
Taichin Chamal ((Glutinous) Rice,1kg,1000,gm,170.00
Hulas Jeera Masino ,25Kg,25000,gm,2250.00
Ashiyana Red Label Long Grain Rice ,5 Kg,5000,gm,875.00
India Gate Basmati Rice Dubar ,5Kg,5000,gm,1031.00
"India Gate Basmati Rice Pouch, Feast Rozzana, ",5kg,5000,gm,820.00
Nepal Gold Premium Katarani Rice ,25Kg,25000,gm,2100.00
Hulas Jeera Masino ,5 Kg,5000,gm,475.00
HARILO Local  Anadi Chamal ,2 KG,2000,gm,600.00
India Gate Brown Basmati Rice ,1 kg,1000,gm,304.00
Brown Rice Pokhreli,1kg,1000,gm,110.00
LalQilla Brown Basmati Rice  Jar,1kg,1000,gm,460.00
Taichin Chamal ,1Kg,1000,gm,185.00
Dhiki Brand Brown Rice ,2Kg,2000,gm,230.00
India Gate Brown Rice ,1 kg,1000,gm,350.00
Shrimann Taichin Chamal ,1 Kg,1000,gm,184.00
"Himali Praso Millet, ",1 Kg,1000,gm,375.00
India Gate Super Rozzana Rice ,5 kg,5000,gm,922.00
Sushi Rice ,1 Kg,1000,gm,500.00
"Himali Black Rice, ",500G,500,gm,250.00
Dhiki Jato Jetho Budo Chamal ,1kg,1000,gm,290.00
Jumla Marsi Rice ,5 Kg,5000,gm,1250.00
"India Gate Basmati Rice Pouch, Feast Rozzana, ",1kg,1000,gm,170.00
Organic Paradise Jumli Marsi Red Rice ,1 Kg,1000,gm,250.00
Anandi Rice ( Sticky Rice ) ,1Kg,1000,gm,260.00
