Title,Price
Sara Foods Sugar Free Brown Rice - 1 kg,300.00
Sara Foods Sama Rice - 500gm,350.00
Bhansaghar Premium Long Grain Rice 20 Kg,3075.00
Big Choice Regular Jeera Masino Rice 25 Kg,1950.00
DhikiJato Local Anadi Chamal 1 KG,320.00
Taichin Chamal ((Glutinous) Rice- 1kg,170.00
Gyan Bhuja -400G,65.00
Dhiki Jato Jetho Budo Chamal 1kg,290.00
Ashirbad Steam Jeera Masino 25 Kg,2000.00
Dhiki Jato Brown Rice 5kg,600.00
Rassi Nepali Taichin Rice 1 kg,190.00
Mithas Premium Reserve Rice -20Kg,3200.00
Big Choice Premium Jeera Masino Rice 25kg,2100.00
Bhansaghar Gold Steam Jeera Masino Rice 25Kg,2250.00
Himali Organic Jumla Marsi Rice 1 kg,260.00
Local Pokhareli Rice 5Kg,475.00
Local Jira Masino Rice 5Kg,700.00
Harpal Galaxy Indian Rice 20 kg,2975.00
Aarati Premium Rice-20 Kg,3150.00
Harpal Boiled Rice -20Kg,2880.00
Hulas Jeera Masino -25Kg,2250.00
Brown Rice Pokhreli- 1kg,110.00
Hulas Jeera Masino 5 Kg,475.00
Nepal Gold Premium Katarani Rice 25Kg,2100.00
Dhiki Jato Jumla Marsi Chamal 1kg,260.00
Taichin Chamal 1Kg,185.00
Local Basmati Rice 5Kg,625.00
Ashiyana Red Label Long Grain Rice 5 Kg,875.00
"Himali Praso Millet, 1 Kg",375.00
Organic Paradise Jumli Marsi Red Rice 1 Kg,250.00
Jumla Marsi Rice 5 Kg,1250.00
Life Bhuja 400Gm,65.00
Organic Magdi Brown Rice 5 Kg With Basket,1250.00
Arati Boiled Rice 5Kg,889.00
"Himali Black Rice, 500G",250.00
HARILO Local  Anadi Chamal 2 KG,600.00
Gyan Basmati Rice Premium 10Kg,1560.00
Anandi Rice ( Sticky Rice ) 1Kg,260.00
Hulas Basmati Premium 10Kg,1560.00
Sushi Rice - 1 Kg,500.00
