Title,Units,Normalized unit,Price
True Elements Berries Mix  ,30g,0.03Kg,90.00
Sara Foods Brazil Nuts ,200gm,0.2Kg,1050.00
Bhumi Nepal Dried Blueberry,500 g,0.5Kg,1700.00
Fox Nuts (Makhana),250Gm,0.25Kg,260.00
Apricot (Khurpani) ,200g,0.2Kg,210.00
Crown Dates ,500 Gm,0.5Kg,550.00
Bhumi Nepal Dried Cranberry,500 g,0.5Kg,1200.00
Harlal's Unique Cashewnuts ,200 gm,0.2Kg,488.00
Makhana ( Fox Nuts) ,250 gm,0.25Kg,280.00
Crown Dates Wet ,500Gm,0.5Kg,425.00
Combo ,200 Gm,0.2Kg,1799.00
Almonds ,500 gm,0.5Kg,700.00
Big Choice Cashew Nut Regular ,500 gm,0.5Kg,945.00
Almond Nuts (Badam),1Kg,1Kg,1485.00
Dry Raisins (Green Kismis) ,500g,0.5Kg,325.00
Green Raisin Fresh ,500Gm,0.5Kg,290.00
Almond Nuts ,500g,0.5Kg,700.00
Walnut ,500g,0.5Kg,330.00
Walnut (Whole) ,500gm,0.5Kg,310.00
Pistachio (Pesta) ,500g,0.5Kg,1100.00
Wallnut   / Okhar / Fresh Walnut ,1 Kg,1 Kg,660.00
 Organics Naturally Dried Whole Cranberries ,250 Gm,0.25Kg,700.00
Makhana ,1000g,1.0Kg,1000.00
Dates (White) ,500gm,0.5Kg,200.00
Walnut ,500gm,0.5Kg,500.00
Peanuts ,1kg,1kg,250.00
Almond Nuts (Badam),1Kg,1Kg,1650.00
Walnut  Okhar ,1Kg,1Kg,680.00
Apricot Dry  / Khurpani ,250Gm,0.25Kg,340.00
Makhana ,500g,0.5Kg,525.00
Walnut Kernels (Guddhi) ,500gm,0.5Kg,750.00
Harlal'S Unique Almond ,100G,0.1Kg,180.00
Cashew Nuts (Kaju),1Kg,1Kg,1820.00
Gopala Premium Makhana ,250g,0.25Kg,275.00
Dry Raisins (Green Kismis) ,200g,0.2Kg,130.00
Dry Black Date (Kalo Chokada) ,1KG,1KG,279.00
Peanuts ,1kg,1kg,250.00
Combo Dry Fruits s,800 gm,0.8Kg,1310.00
Dried Green Raisin (Hareyo Dakh),500Gm,0.5Kg,320.00
Almond Nuts (Badam),500Gm,0.5Kg,745.00
